Artist,Label
Aba ,Sony
Adam Daniel ,Sony
Afrika 2010 Kunstnerne,Sony
Alberte,Sony
Alex ,Sony
Alex Ambrose,Sony
Alexander Brown,Sony
Alexander Oscar,Sony
Alexandra ,Sony
Aligator,Sony
Alma Agger,Sony
Alma,Sony
Amanda ,Sony
Amanda,Sony
Amazia,Sony
Analog Garden,Sony
Andrea Berg,Sony
Andreano,Sony
Andrew Murray ,Sony
Anna David,Sony
Anne Dorte Michelsen,Sony
Anne Gadegaard,Sony
Anne Linnet,Sony
Annelouise,Sony
Annette Heick,Sony
Annika Aakjær,Sony
Anthony Jasmin,Sony
Anya ,Sony
Aske Jacoby,Sony
Athina ,Sony
A'Typisk,Sony
Auður,Sony
Aura Dione,Sony
Aycan,Sony
Babou ,Sony
Barbara Moleko,Sony
Basim ,Sony
Bbybites,Sony
Benal,Sony
Benjamin ,Sony
Benjamin Hav,Sony
Berg ,Sony
Bergan ,Sony
Beyoncé,Sony
Bikstok,Sony
Bjørn & Okay,Sony
Bjørn Eidsvåg,Sony
Bjørnskov,Sony
Bladtkramer,Sony
Blak ,Sony
Bleeder,Sony
Bleek ,Sony
Boghandle,Sony
Branco ,Sony
Brandon Beal,Sony
Brdr. Olsen,Sony
Bro ,Sony
Brother Grimm,Sony
Bryan Rice,Sony
Burhan G,Sony
Burnin Red Ivanhoe,Sony
Camarco,Sony
Camille Jones,Sony
Caroline Henderson,Sony
Cecilie Alexandra,Sony
Chili ,Sony
Chresten,Sony
Chris de Burgh,Sony
Chris Norman,Sony
Christian Amby,Sony
Christian Amby,Sony
Christian Brøns,Sony
Citybois,Sony
Clara ,Sony
Clara Sofie,Sony
Claus Hempler,Sony
Clemens,Sony
Coco O,Sony
Contiez,Sony
CV Jørgensen,Sony
D-A-D,Sony
Daniel Schulz ,Sony
Danny Kool,Sony
Danseorkestret,Sony
Dansk På Toppen,Sony
Darleens,Sony
Darwich ,Sony
David Owe,Sony
Daxtar,Sony
Daze,Sony
De Dødelige,Sony
De Eneste To,Sony
Dean Thompson,Sony
DeeVibez ,Sony
Dizzy Mizz Lizzy,Sony
DJ Aligator,Sony
Djämes Braun,Sony
DR PigeKoret,Sony
Dream Catcher ,Sony
Eagle-Eye Cherry,Sony
Echo ,Sony
Ed. ,Sony
Electric Lady Lab,Sony
Elisabeth ,Sony
Elisha ,Sony
Embien,Sony
Embrace ,Sony
Emil Kruse,Sony
Emil Wismann,Sony
Emilie Esther,Sony
Emilie Moldow,Sony
Emmelie de Forest,Sony
Enginn,Sony
Epoch ,Sony
Erann DD,Sony
Ercan,Sony
Erik Grip,Sony
Fallulah,Sony
Fenger,Sony
Few Wolves,Sony
Filur,Sony
Fool ,Sony
Fouli x ZK ,Sony
Frede Fup,Sony
Freja Kirk,Sony
FS Orlonn,Sony
Gangway,Sony
Gasolin',Sony
Geek ,Sony
Ginger Ninja,Sony
Ginman,Sony
Glamboy P,Sony
Gnags,Sony
Go Go Berlin,Sony
Goldfinger ,Sony
Greed,Sony
Gregersen,Sony
Gurli Octavia,Sony
H.E.R.O. ,Sony
Hampenberg,Sony
Håndboldpigerne,Sony
Hansi Hinterseer,Sony
Hasan Shah,Sony
HC,Sony
Hechmann,Sony
Hej Matematik,Sony
Helmig,Sony
Hemlig Elsker,Sony
Henriette Haubjerg,Sony
Hr. Pedersen,Sony
Humleridderne,Sony
Hyldemors Grønsaligheder,Sony
IBN,Sony
Ida ,Sony
Ida Corr,Sony
In Lonely Majesty,Sony
Ina ,Sony
Isabella ,Sony
Isam B Med Band,Sony
Isam B,Sony
ItaloBrothers,Sony
Jacob Eriksen,Sony
Jamaika ,Sony
James Sampson,Sony
Jamie,Sony
Jasik Moller,Sony
Jesper Nohrstedt,Sony
Jessica ,Sony
Jesu Brødre,Sony
Jette Torp,Sony
Jeuru,Sony
Jimilian,Sony
Jøden,Sony
Joey Moe,Sony
Jógvan,Sony
Johnny Hansen ,Sony
Johnny Madsen,Sony
Jokeren,Sony
Jon,Sony
Jonah Blacksmith,Sony
Jonas Benjamin,Sony
JR ,Sony
Judson Mancebo,Sony
Juice ,Sony
Julie ,Sony
Julie Bjerre,Sony
Jutland,Sony
Jyden,Sony
Jytte ,Sony
Kært Barn,Sony
Kaizers Orchestra,Sony
Kaliber ,Sony
Kandis ,Sony
Karl William,Sony
Karla,Sony
Karoline,Sony
Kashmir ,Sony
Kasper Winding,Sony
Katie Keller,Sony
Kato ,Sony
Keld & Hilda,Sony
Kelde,Sony
Kim Larsen,Sony
Kim Wilde,Sony
King Lion,Sony
Klaus Schønning,Sony
Kongsted,Sony
Kris O'Neil & Kiholm,Sony
Kristian Kjærlund,Sony
Kristina Renée,Sony
Krizzy Jazz,Sony
Kúra,Sony
Larry 44,Sony
Lars H.U.G.,Sony
Lasse Meling,Sony
Laura Corward,Sony
Laurent & Nielsen,Sony
Laze,Sony
Lazy Weekends,Sony
Leonora ,Sony
Linda Andrews,Sony
Line ,Sony
Linie 3,Sony
Link Wray,Sony
Lis Sørensen,Sony
Live ,Sony
Lost Silhouette,Sony
Louis ,Sony
Love Shop,Sony
LOVESPEED,Sony
Lucy Mardou,Sony
Lydmor,Sony
M.A.T.C.H.,Sony
Mads Langer,Sony
Magnus Vil,Sony
Maia ,Sony
Malte ,Sony
Maria Montell,Sony
Marie Key,Sony
Martin Brygmann,Sony
Martin,Sony
Mathilde Caffey,Sony
Matilde Kuhl,Sony
Me - She & Her,Sony
Mego ,Sony
Mester MC,Sony
Michael Andersen ,Sony
Michael Falch,Sony
Michael Jackson,Sony
Mille ,Sony
Mirah ,Sony
Miss Mukupa,Sony
MØ,Sony
Mohamed Ali ,Sony
Molo ,Sony
Mononow,Sony
Moonjam,Sony
Morten ,Sony
Morten Breum,Sony
Moto ,Sony
Ms Mukupa,Sony
Mukupa,Sony
Muri & Mario,Sony
Nabiha,Sony
Nadia Gattas,Sony
Nadia Malm,Sony
Nanna,Sony
Nanook ,Sony
Nastasia,Sony
Navid ,Sony
Neigh,Sony
Neo.,Sony
Nephew,Sony
New:Name,Sony
Nicky Bendix,Sony
Niels Noller Olsen,Sony
Niklas,Sony
Nikolaj Nørlund,Sony
Nikoline Steen Kristensen,Sony
Node ,Sony
Node ,Sony
Oh Land,Sony
Olsen Bandet,Sony
Østkyst Hustlers,Sony
Outlandish,Sony
På Slaget 12,Sony
Page Four,Sony
Palle Mikkelborg,Sony
Patricia ,Sony
Pauline ,Sony
Pearl Jam,Sony
Per Frost,Sony
Pete Fox ,Sony
Peter A.G.,Sony
Peter Belli,Sony
Peter Smith ,Sony
Peter Sommer,Sony
Phlake ,Sony
Pind ,Sony
Place On Earth,Sony
Point ,Sony
Poul Krebs,Sony
Pretty Maids,Sony
Rage Against The Machine,Sony
Randi Laubek,Sony
Rasmus ,Sony
Rasmus ,Sony
Rasmus Nielsen,Sony
Rasmus Nøhr,Sony
Rasmus Thude,Sony
RH ,Sony
Richard Ragnvald,Sony
Rosa ,Sony
Rugsted Kreutzfeldt,Sony
Rytteriets Husorkester,Sony
S!vas,Sony
S.O.A.P.,Sony
Sade,Sony
Sakis ,Sony
Sanne Salomonsen,Sony
Sara Sukurani,Sony
Sarah,Sony
Saseline,Sony
Saybia,Sony
Sebastian ,Sony
Secret Oyster,Sony
Selma Judith,Sony
Serebro,Sony
Shift C,Sony
Sidelmann,Sony
Sigurd Barrett,Sony
Simon Core,Sony
Simon Kvamm,Sony
Sleepy Minds,Sony
Sleiman,Sony
Slowmode,Sony
Small Talk ,Sony
Smokey Eyes,Sony
Soels,Sony
Soluna Samay,Sony
Sonny Fredie-Pedersen,Sony
Sort Sol,Sony
SOS ,Sony
SOS ,Sony
Søs Fenger,Sony
Soulmagic,Sony
Sound Of Seduction,Sony
Souvenirs,Sony
Spaghetti Surfers,Sony
Stanley Most,Sony
Steen Jørgensen,Sony
Stefan ,Sony
Stefan Hjort,Sony
Stephanie Ravn,Sony
Stephanie,Sony
Stewart Stardust,Sony
Stine Hjelm,Sony
Sugar Rush,Sony
SULKA ,Sony
SULKA ,Sony
Super Furry Animals,Sony
Sveinur,Sony
Svenstrup & Vendelboe,Sony
Sys Bjerre,Sony
Systematixx,Sony
Tako Lako,Sony
Talbot,Sony
Tequila ,Sony
Tequila ,Sony
The Eclectic Moniker,Sony
The Minds of 99,Sony
Thomas Dybdahl,Sony
Thomas Helmig,Sony
Thomas Meilstrup,Sony
Thomas Ring,Sony
Thomas,Sony
Tim Christensen And The Damn Crystals,Sony
Tina,Sony
Tine,Sony
Toko ,Sony
Tönnov,Sony
TopGunn,Sony
Torben Schmidt ,Sony
Toto,Sony
Troels Abrahamsen,Sony
Troels Gustavsen,Sony
Tumult ,Sony
Turboweekend,Sony
Ude Af Kontrol X Faustix,Sony
Under ,Sony
URO,Sony
Veto ,Sony
VICA,Sony
Village People,Sony
Vittrup,Sony
Vkation,Sony
Von der Beats,Sony
Wafande,Sony
Wasteland ,Sony
Winding,Sony
Yepha,Sony
Yulez,Sony
Zen Zoo,Sony
Zididada,Sony
Zindy Kuku,Sony
ZK ,Sony
Zookeepers,Sony
