Artist,Label
12 Gauge,Sony
14 Bis,Sony
1976,Sony
24kGoldn,Sony
3rd Bass,Sony
3rd Faze,Sony
50 Cent,Sony
A1,Sony
A-Lin,Sony
Aaron Carter,Sony
ABBA,Sony
AC/DC,Sony
Adam Harvey,Sony
Adam Lambert,Sony
Adam Sandler,Sony
Addrisi Brothers,Sony
Adele,Sony
Adriana Evans,Sony
Aerosmith,Sony
Afrojack,Sony
Agnez Mo,Sony
The Airborne Toxic Event,Sony
AKA (rapper),Sony
Akasa Singh,Sony
Aiden Grimshaw,Sony
Air Supply,Sony
Alan Parsons Project,Sony
Alan Silvestri,Sony
Alan Walker,Sony
Alex & Sierra,Sony
Alexandra Burke,Sony
Alexis Jordan,Sony
Alfonzo Blackwell,Sony
Ali Baba,Sony
Alice in Chains,Sony
Alicia Keys,Sony
Alizée,Sony
Alif Satar,Sony
Aliff Aziz,Sony
The Alkaholiks,Sony
Alkaline Trio,Sony
Ali Kiba,Sony
All Ends,Sony
Allen Su,Sony
Amanda Black,Sony
Amaal Malik,Sony
Amanda Seyfried,Sony
Amaia Montero,Sony
Amelia Lily,Sony
Amy Mastura,Sony
Ana Carolina,Sony
Anastacia,Sony
Angy Fernandez,Sony
Anirudh Ravichander,Sony
Anna Vissi,Sony
Anthony Hamilton,Sony
Antonis Remos,Sony
Andy Williams,Sony
Annie Lennox,Sony
Annihilator,Sony
Anti-Flag,Sony
Aram Quartet,Sony
AR Rahman,Sony
Arijit Singh,Sony
Armaan Malik,Sony
Art Garfunkel,Sony
Asia Cruise,Sony
Astrid,Sony
Ateez,Sony
Audioslave,Sony
Audy,Sony
Automatic Loveletter,Sony
Avicii,Sony
Avril Lavigne,Sony
Aston Merrygold,Sony
Aynur Doğan,Sony
B Praak,Sony
Baccara,Sony
Backstreet Boys,Sony
Bakugan,Sony
BTS,Sony
Bars and Melody,Sony
Bamboo Shoots,Sony
Bathiya & Santhush,Sony
Barbra Streisand,Sony
Babyface,Sony
BBC Concert Orchestra,Sony
