Artist,Label
Albert Dyrlund  ,Universal
Alex Holtti     ,Universal
Alex Vargas     ,Universal
Amdi                    ,Universal
Andreas Odbjerg ,Universal
Aqua                    ,Universal
Baby Bino       ,Universal
Barselona       ,Universal
Basim                    ,Universal
Beko                    ,Universal
Blaue Blume     ,Universal
Brandon Beal    ,Universal
Bro                    ,Universal
Burhan G        ,Universal
Carl Emil       ,Universal
Carmon         ,Universal
Carpark North   ,Universal
Cisilia         ,Universal
Citybois        ,Universal
Dada                    ,Universal
David44         ,Universal
Dayzon         ,Universal
Delahoia        ,Universal
Elias Boussnina ,Universal
Emil Kruse      ,Universal
Ericka Jane     ,Universal
Feels                    ,Universal
Folkeklubben    ,Universal
Fravær         ,Universal
Future Animals  ,Universal
Gulddreng       ,Universal
Guldregn        ,Universal
Hans Phillip    ,Universal
Hedegaard       ,Universal
Hennedub        ,Universal
Hjalmer         ,Universal
Humørekspressen ,Universal
Ivan$ito        ,Universal
Jada                    ,Universal
Jamaika         ,Universal
Joey Moe        ,Universal
K-phax         ,Universal
Kellermensch    ,Universal
Kidd                    ,Universal
Kongsted        ,Universal
Kops                    ,Universal
Kwamé                    ,Universal
Lars Lilholt    ,Universal
Lightwave Empire,Universal
Liive                    ,Universal
Lillebittebock  ,Universal
Louis Samson    ,Universal
Love Shop       ,Universal
Lukas Graham    ,Universal
Magtens korridor,Universal
Malte Ebert     ,Universal
Mangera         ,Universal
Marco Rahim     ,Universal
Maximillian     ,Universal
Medina         ,Universal
Metallica       ,Universal
Michael Falch   ,Universal
Michael Williams,Universal
Milan Rahim     ,Universal
Mont Jake       ,Universal
Moody                    ,Universal
Nephew         ,Universal
Nik og Jay      ,Universal
Noah                    ,Universal
Noah Carter     ,Universal
Off Bloom       ,Universal
OggyPow         ,Universal
Oh Land         ,Universal
Philippe        ,Universal
Poul Krebs      ,Universal
Rasmus Seebach  ,Universal
Salazar         ,Universal
Sandra Hussein  ,Universal
Saveus         ,Universal
Scarlet Pleasure,Universal
Shaka Loveless  ,Universal
Simsey         ,Universal
Søren Huss      ,Universal
Stine Bramsen   ,Universal
Suspekt         ,Universal
The Asteroids Ga,Universal
The Rumour Said ,Universal
Thøger Dixgaard ,Universal
Tina Dickow     ,Universal
Tobias Albert   ,Universal
TV-2                    ,Universal
Tyrees Tyr      ,Universal
Vild $mith      ,Universal
Vinnie Takair   ,Universal
Volbeat         ,Universal
Wafande         ,Universal
Wiinston        ,Universal
Xander         ,Universal
