Artist,Label
Aaron Kwok,Warner
Aaliyah,Warner
AB'S,Warner
ABBA ,Warner
AC/DC,Warner
Action Bronson,Warner
Adam Faith,Warner
Adam Lambert,Warner
Adia Victoria,Warner
Adina Howard,Warner
Afrojack,Warner
Ailee,Warner
Aimee Mayo,Warner
Airbourne,Warner
Against the Current,Warner
Agallah,Warner
The Agonist,Warner
A-ha,Warner
Alec Benjamin,Warner
Akon,Warner
Alesana,Warner
Alestorm,Warner
Alex Dezen,Warner
Alex Gaskarth,Warner
Alex Metric,Warner
Alex Newell,Warner
Alexander Armstrong,Warner
Aleyna Tilki,Warner
Alice in Chains,Warner
Alison Balsom,Warner
Alison Sudol,Warner
Alissa White-Gluz,Warner
All Saints,Warner
All Time Low,Warner
All-4-One,Warner
Allison Moorer ,Warner
Alok,Warner
Alphabeat,Warner
Alphaville,Warner
Alt-J,Warner
Alter Bridge,Warner
Amanda Palmer,Warner
Amelia Lily,Warner
The Amity Affliction,Warner
"Amon Amarth (Outside U.S. territories, via Metal Blade Records)",Warner
Anderson East,Warner
Annabel Jones,Warner
Andra Day,Warner
Andrea Daly (Warner/Chappell Music),Warner
Androp,Warner
Anitta,Warner
Anne-Marie,Warner
Annie Moses Band,Warner
Annihilator,Warner
Anthrax,Warner
The Apples in Stereo,Warner
Arcadia,Warner
Architects,Warner
Arctic Monkeys,Warner
Art of Dying,Warner
Art Garfunkel,Warner
Artemis Quartet,Warner
Arthur McArthur,Warner
Ashley Monroe,Warner
Ashnikko,Warner
Atkins,Warner
Atlantic Starr,Warner
Atlas Genius,Warner
Atreyu,Warner
Auburn,Warner
Aubrie Sellers,Warner
Audra Mae,Warner
Aura Dione,Warner
Aurora Orchestra,Warner
Auryn,Warner
Ayaka,Warner
B1A4,Warner
Baby Chaos,Warner
Babyshambles,Warner
Badfinger,Warner
Bad Company,Warner
Bad Religion,Warner
Frankie Ballard,Warner
Gnarls Barkley,Warner
Basshunter (Sweden),Warner
Bat for Lashes,Warner
Baton Rouge,Warner
Battlecross,Warner
Bazzi,Warner
Bebe Rexha,Warner
Becky Hill,Warner
Bee Gees,Warner
Behemoth,Warner
Bellefire,Warner
Belly,Warner
Belinda Carlisle,Warner
Belouis Some,Warner
Bernard Cribbins,Warner
Beverley Knight,Warner
Ben Lee,Warner
Bette Midler,Warner
Beyoncé,Warner
Big Ali,Warner
BIGBANG,Warner
Big & Rich,Warner
Billie Joe Armstrong,Warner
Billy J. Kramer,Warner
Billy Lawrence,Warner
Birdy,Warner
Björk,Warner
The Black Dahlia Murder,Warner
The Black Keys,Warner
Blackpink,Warner
Blake Shelton,Warner
Blas Cantó,Warner
Blazin' Squad,Warner
Blind Guardian,Warner
Bliss,Warner
Blonde,Warner
Blur,Warner
B.o.B,Warner
Bob Sinclar,Warner
Bobby Lewis,Warner
Bobby Tench,Warner
Bolt Thrower,Warner
Boyzone,Warner
Haley Bonar,Warner
Bonnie Lou,Warner
Brian Imanuel Soewarno,Warner
Brendon Urie,Warner
Brett Eldredge,Warner
The Brilliant Green,Warner
Bruce Dickinson,Warner
Bruno Mars,Warner
Bruno & Marrone,Warner
Brynn Cartelli,Warner
Michael Bublé,Warner
Biffy Clyro,Warner
Built to Spill,Warner
Busted,Warner
Burna boy,Warner
Candlebox,Warner
Candlemass,Warner
Cane Hill,Warner
Cannibal Corpse,Warner
Cardi B,Warner
Carly Simon,Warner
Cascada,Warner
Cash Cash,Warner
Cavalera Conspiracy,Warner
Cedric Gervais,Warner
CeeLo Green,Warner
Carabao,Warner
Cosculluela,Warner
The Corrs,Warner
Johnny Cash,Warner
Charice,Warner
Charles Aznavour,Warner
Charlie Puth,Warner
Charlie Worsham,Warner
Cheap Trick,Warner
Cheat Codes,Warner
Chelsea Grin,Warner
The Chemical Brothers,Warner
Cher,Warner
Cherish,Warner
Chester Bennington,Warner
Cherry Bullet,Warner
Chicos de Barrio,Warner
Chiddy Bang,Warner
Chimaira,Warner
Chisato Moritaka,Warner
Chisu,Warner
Choi Jun-hee,Warner
Chris Bell,Warner
Chrissy Costanza,Warner
Christina and Michelle Naughton,Warner
Christina Perri,Warner
Christine and the Queens,Warner
Christopher Cross,Warner
Chromeo,Warner
Chevelle,Warner
Cilla Black,Warner
Clean Bandit,Warner
Cleopatra,Warner
Cliff Bennett and the Rebel Rousers,Warner
CN Blue,Warner
Coal Chamber,Warner
Cobra Starship,Warner
Code Orange,Warner
Cody Simpson,Warner
Phil Collins,Warner
Coolio,Warner
The Corrs,Warner
Cowboy Troy,Warner
Chicago,Warner
The Cars,Warner
Coal Chamber,Warner
Coldplay,Warner
Coldrain,Warner
Conor Maynard,Warner
Corey Taylor,Warner
Cradle of Filth,Warner
Craig David,Warner
Crazy Frog,Warner
Creamy,Warner
Crystal Fighters,Warner
Charli XCX,Warner
Pakho Chau,Warner
D-Side,Warner
Diamond Platnumz,Warner
Dan Wilson,Warner
Daniel Lanois,Warner
Danity Kane,Warner
Daft Punk,Warner
Damon Albarn,Warner
Darius Rucker,Warner
The Darkness,Warner
Daughtry,Warner
Dave Mustaine,Warner
Dave Wong,Warner
David Bowie,Warner
Craig David,Warner
David Cook ,Warner
David Draiman,Warner
David Guetta,Warner
Sammy Davis Jr.,Warner
Dawn of Ashes,Warner
Day26,Warner
DAY6,Warner
Dean Martin,Warner
Death,Warner
Death Angel,Warner
Death Cab for Cutie,Warner
Debi Nova,Warner
Debbie Harry,Warner
Deftones,Warner
Delain,Warner
Jason Derülo,Warner
Device,Warner
The Devil Wears Prada,Warner
DevilDriver,Warner
Devo,Warner
Dez Fafara,Warner
Diddy,Warner
Dio,Warner
Dire Straits,Warner
Disturbed,Warner
Alesha Dixon,Warner
DJ Drama,Warner
Dokken,Warner
The Donnas,Warner
The Doobie Brothers,Warner
The Doors,Warner
Double You,Warner
Down,Warner
DragonForce,Warner
Drake Bell,Warner
DRAM,Warner
Dr. Dre ,Warner
Dream Theater,Warner
Drew Parker,Warner
Dua Lipa,Warner
Dwight Yoakam,Warner
E-40,Warner
Eagles,Warner
Echosmith,Warner
Édith Piaf,Warner
Ed Motta,Warner
Ed Sheeran,Warner
Edis,Warner
Eiffel 65,Warner
Eight Seconds,Warner
Eisley,Warner
Elbow,Warner
Brett Eldredge,Warner
Electric Boys,Warner
Eliza Doolittle,Warner
Ella Eyre,Warner
Ella Henderson,Warner
Elliot Moss ,Warner
Elsa Lunghini,Warner
Elsten Torres,Warner
EMF,Warner
Enuff Z'Nuff,Warner
Enya,Warner
Epica ,Warner
The Everly Brothers,Warner
Erena Ono,Warner
Eric Clapton,Warner
Eskimo Joe,Warner
Evermore,Warner
Everything,Warner
Exodus,Warner
Fabolous,Warner
Faith No More,Warner
Faster Pussycat,Warner
Fat Joe,Warner
Fat Trel,Warner
Fatboy Slim,Warner
Fats Domino,Warner
Fay Ray,Warner
"Fear, and Loathing in Las Vegas",Warner
Fetty Wap,Warner
Lupe Fiasco,Warner
F.I.R.,Warner
Filippa Giordano,Warner
Flaming Lips,Warner
Flanders & Swann,Warner
Fleetwood Mac,Warner
Flotsam and Jetsam,Warner
Florent Mothe,Warner
Flo Rida,Warner
Khalil Fong,Warner
Fort Minor,Warner
The Fourmost,Warner
Frankie Ballard,Warner
The Four Seasons,Warner
Aretha Franklin,Warner
Stan Freberg,Warner
Freezepop,Warner
Frente!,Warner
Frightened Rabbit,Warner
Foreigner,Warner
Foy Vance,Warner
Front Line Assembly,Warner
Funeral for a Friend,Warner
Fear Factory,Warner
F.T. Island,Warner
Fun.,Warner
Gabrielle Aplin,Warner
Galneryus,Warner
Garbage,Warner
Gary Private,Warner
Gass,Warner
Genesis,Warner
George,Warner
Georgi Kay,Warner
The Georgia Satellites,Warner
Gerard Way,Warner
Gesaffelstein,Warner
Jimmie Dale Gilmore,Warner
Glassjaw,Warner
Glenn Frey,Warner
Gloriana,Warner
Gojira,Warner
Goldfrapp,Warner
