Artist,Label
10cc,Universal
10 Years,Universal
2 Chainz,Universal
3 Doors Down,Universal
4minute,Universal
4 Non Blondes,Universal
4 Strings,Universal
5 Seconds of Summer,Universal
The 1975,Universal
Badshah,Universal
A-Mei,Universal
Armored Saint,Universal
Aaliyah,Universal
Abandon All Ships,Universal
ABBA,Universal
Tiago Abravanel,Universal
Pedro Abrunhosa,Universal
Ace of Base,Universal
Bryan Adams,Universal
Admiral T,Universal
AFI,Universal
Afrojack,Universal
After Midnight Project,Universal
AGA,Universal
Agoney,Universal
Ahlam,Universal
Ai,Universal
Airbourne,Universal
The Airborne Toxic Event,Universal
Aitana,Universal
AJR,Universal
Akon,Universal
Yemi Alade,Universal
Carlos Alazraqui,Universal
Alesso,Universal
All About Eve,Universal
The All-American Rejects,Universal
All That Remains,Universal
All Time Low,Universal
Gary Allan,Universal
Allstar Weekend,Universal
Alphabeat,Universal
Alphaville,Universal
Alsou,Universal
Alter Bridge,Universal
Amal Hijazi,Universal
Amaranthe,Universal
America,Universal
Amir Tataloo,Universal
Amr Diab,Universal
Namie Amuro,Universal
Anastacia,Universal
Anberlin,Universal
Angels & Airwaves,Universal
Anggun,Universal
Angham,Universal
Paul Anka,Universal
Tony Anselmo,Universal
Anthrax,Universal
Arnaldo Antunes,Universal
Apink,Universal
Apocalyptica,Universal
Aqua,Universal
The Aquabats,Universal
Guilherme Arantes,Universal
Beni Arashiro,Universal
Arcade Fire,Universal
Jann Arden,Universal
India Arie,Universal
Army of Lovers,Universal
As It Is,Universal
Ashanti,Universal
Ashes Divide,Universal
Asia,Universal
Asma Lamnawar,Universal
Assala Nasri,Universal
Rick Astley,Universal
Astrid S,Universal
AC/DC,Universal
Atreyu,Universal
Ateez,Universal
Audioslave,Universal
August Burns Red,Universal
Johnta Austin,Universal
Jin Au-Yeung,Universal
Avenged Sevenfold,Universal
Avicii,Universal
Ayọ,Universal
Iggy Azalea,Universal
Charles Aznavour,Universal
BG,Universal
Lil Baby,Universal
Babyface,Universal
Bad Meets Evil,Universal
Erykah Badu,Universal
Backstreet Boys,Universal
David Banner,Universal
Barei,Universal
Barenaked Ladies,Universal
Base Ball Bear,Universal
Bastille,Universal
Franco Battiato,Universal
Beast,Universal
Beastie Boys,Universal
The Beatles,Universal
Robin Beck,Universal
Bee Gees,Universal
Drake Bell,Universal
Kristen Bell,Universal
Pat Benatar,Universal
Benny Benassi,Universal
Edoardo Bennato,Universal
Eugenio Bennato,Universal
George Benson,Universal
Dierks Bentley,Universal
Berlin,Universal
Gael García Bernal,Universal
Tiago Bettencourt,Universal
Beyoncé,Universal
Justin Bieber,Universal
Big Bang,Universal
Big Sean,Universal
Big Time Rush,Universal
Dima Bilan,Universal
Birdman,Universal
Jane Birkin,Universal
David Bisbal,Universal
Björk,Universal
Aloe Blacc,Universal
Dan Black,Universal
The Black Eyed Peas,Universal
Blackpink,Universal
Black Tide,Universal
Black Veil Brides,Universal
Blink-182,Universal
Blondie,Universal
Blood Raw,Universal
Bloodhound Gang,Universal
Bloom 06,Universal
The Notorious B.I.G.,Universal
Billy Blue,Universal
Blue,Universal
Blue October,Universal
